fips,cname,state,year,returns,exempt
34003,Bergen County,NJ,2011_12,454847,883358
34013,Essex County,NJ,2011_12,370610,711281
34017,Hudson County,NJ,2011_12,318912,569669
34019,Hunterdon County,NJ,2011_12,63949,125713
34023,Middlesex County,NJ,2011_12,397633,794769
34025,Monmouth County,NJ,2011_12,315610,614529
34027,Morris County,NJ,2011_12,248012,487739
34029,Ocean County,NJ,2011_12,275713,545361
34031,Passaic County,NJ,2011_12,247148,494753
34035,Somerset County,NJ,2011_12,163444,327797
34037,Sussex County,NJ,2011_12,72697,142282
34039,Union County,NJ,2011_12,267346,521765
36005,Bronx County,NY,2011_12,632356,1201083
36027,Dutchess County,NY,2011_12,138524,266409
36047,Kings County,NY,2011_12,1155000,2205932
36059,Nassau County,NY,2011_12,694555,1336165
36061,New York County,NY,2011_12,902653,1381614
36071,Orange County,NY,2011_12,174355,358491
36079,Putnam County,NY,2011_12,48827,95412
36081,Queens County,NY,2011_12,1089641,2043544
36085,Richmond County,NY,2011_12,213708,423218
36087,Rockland County,NY,2011_12,145092,311836
36103,Suffolk County,NY,2011_12,755111,1446726
36119,Westchester County,NY,2011_12,477299,919549
42103,Pike County,PA,2011_12,26803,52291
34003,Bergen County,NJ,2012_13,454440,881200
34013,Essex County,NJ,2012_13,364520,702540
34017,Hudson County,NJ,2012_13,317480,567230
34019,Hunterdon County,NJ,2012_13,64000,124790
34023,Middlesex County,NJ,2012_13,396270,788480
34025,Monmouth County,NJ,2012_13,315840,609720
34027,Morris County,NJ,2012_13,249240,486990
34029,Ocean County,NJ,2012_13,276630,544940
34031,Passaic County,NJ,2012_13,244040,485080
34035,Somerset County,NJ,2012_13,165340,329100
34037,Sussex County,NJ,2012_13,72510,140230
34039,Union County,NJ,2012_13,268190,521180
36005,Bronx County,NY,2012_13,622370,1192290
36027,Dutchess County,NY,2012_13,138170,263060
36047,Kings County,NY,2012_13,1158570,2213330
36059,Nassau County,NY,2012_13,695760,1335710
36061,New York County,NY,2012_13,875680,1353230
36071,Orange County,NY,2012_13,174280,356160
36079,Putnam County,NY,2012_13,48870,94720
36081,Queens County,NY,2012_13,1103000,2065270
36085,Richmond County,NY,2012_13,214540,423420
36087,Rockland County,NY,2012_13,147050,315540
36103,Suffolk County,NY,2012_13,758810,1446700
36119,Westchester County,NY,2012_13,478990,921810
42103,Pike County,PA,2012_13,26690,51500
34003,Bergen County,NJ,2013_14,458750,885960
34013,Essex County,NJ,2013_14,364770,702660
34017,Hudson County,NJ,2013_14,320660,573420
34019,Hunterdon County,NJ,2013_14,64130,123800
34023,Middlesex County,NJ,2013_14,399560,791540
34025,Monmouth County,NJ,2013_14,317820,607640
34027,Morris County,NJ,2013_14,252020,488160
34029,Ocean County,NJ,2013_14,278250,546390
34031,Passaic County,NJ,2013_14,245080,484330
34035,Somerset County,NJ,2013_14,166740,330060
34037,Sussex County,NJ,2013_14,72360,138400
34039,Union County,NJ,2013_14,269150,520810
36005,Bronx County,NY,2013_14,634080,1208270
36027,Dutchess County,NY,2013_14,138930,262610
36047,Kings County,NY,2013_14,1181020,2238730
36059,Nassau County,NY,2013_14,703060,1341320
36061,New York County,NY,2013_14,880460,1360750
36071,Orange County,NY,2013_14,176420,358210
36079,Putnam County,NY,2013_14,49270,94600
36081,Queens County,NY,2013_14,1118140,2085540
36085,Richmond County,NY,2013_14,216710,425120
36087,Rockland County,NY,2013_14,148090,316730
36103,Suffolk County,NY,2013_14,768160,1451410
36119,Westchester County,NY,2013_14,482950,925290
42103,Pike County,PA,2013_14,26770,51130
34003,Bergen County,NJ,2014_15,460500,883710
34013,Essex County,NJ,2014_15,365810,701020
34017,Hudson County,NJ,2014_15,325010,579910
34019,Hunterdon County,NJ,2014_15,64340,123170
34023,Middlesex County,NJ,2014_15,401840,791440
34025,Monmouth County,NJ,2014_15,318840,603620
34027,Morris County,NJ,2014_15,252070,484350
34029,Ocean County,NJ,2014_15,279800,548980
34031,Passaic County,NJ,2014_15,246570,482390
34035,Somerset County,NJ,2014_15,167600,328070
34037,Sussex County,NJ,2014_15,72400,137000
34039,Union County,NJ,2014_15,270510,519890
36005,Bronx County,NY,2014_15,644950,1220670
36027,Dutchess County,NY,2014_15,139970,260770
36047,Kings County,NY,2014_15,1202400,2260710
36059,Nassau County,NY,2014_15,708170,1340370
36061,New York County,NY,2014_15,887420,1367360
36071,Orange County,NY,2014_15,178310,357680
36079,Putnam County,NY,2014_15,49630,93610
36081,Queens County,NY,2014_15,1135060,2105280
36085,Richmond County,NY,2014_15,219350,427270
36087,Rockland County,NY,2014_15,149040,317360
36103,Suffolk County,NY,2014_15,773080,1444250
36119,Westchester County,NY,2014_15,483430,917720
42103,Pike County,PA,2014_15,26650,50380
